Tabelle: 23211-0001
Gestorbene: Deutschland, Jahre, Todesursachen, Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Todesursachenstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestorbene (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2010;;;;2011;;;;2012;;;;2013;;;;2014;;;;2015;;;;2016;;;;2017;;;;2018;;;;2019;;;;2020;;;;2021;;;;2022;;;;2023;;;
;;Geschlecht;;;;Geschlecht;;;;Geschlecht;;;;Geschlecht;;;;Geschlecht;;;;Geschlecht;;;;Geschlecht;;;;Geschlecht;;;;Geschlecht;;;;Geschlecht;;;;Geschlecht;;;;Geschlecht;;;;Geschlecht;;;;Geschlecht;;;
;;männlich;;weiblich;;männlich;;weiblich;;männlich;;weiblich;;männlich;;weiblich;;männlich;;weiblich;;männlich;;weiblich;;männlich;;weiblich;;männlich;;weiblich;;männlich;;weiblich;;männlich;;weiblich;;männlich;;weiblich;;männlich;;weiblich;;männlich;;weiblich;;männlich;;weiblich;
TDU-01;Bestimmte infektiöse und parasitäre Krankheiten;7197;e;8199;e;7550;e;9133;e;8121;e;10232;e;8357;e;10123;e;8350;e;9637;e;9271;e;10672;e;8005;e;8994;e;8193;e;9092;e;8486;e;9311;e;7895;e;8299;e;7362;e;7723;e;7355;e;7515;e;8662;e;8685;e;9096;e;9289;e
TDU-011;Tuberkulose einschließlich ihrer Folgezustände;225;e;125;e;188;e;154;e;213;e;143;e;220;e;146;e;169;e;141;e;189;e;122;e;182;e;103;e;171;e;117;e;187;e;104;e;182;e;104;e;167;e;108;e;161;e;106;e;160;e;123;e;161;e;96;e
TDU-012;Meningokokkeninfektion;25;e;18;e;12;e;13;e;10;e;20;e;15;e;18;e;11;e;19;e;16;e;16;e;11;e;12;e;13;e;14;e;14;e;15;e;12;e;8;e;8;e;9;e;8;e;7;e;7;e;8;e;16;e;14;e
TDU-013;Virushepatitis;501;e;479;e;496;e;472;e;503;e;473;e;529;e;462;e;448;e;406;e;528;e;411;e;442;e;347;e;418;e;320;e;381;e;293;e;338;e;246;e;282;e;241;e;307;e;204;e;308;e;198;e;285;e;153;e
TDU-014;HIV-Krankheit;380;e;75;e;378;e;85;e;334;e;76;e;335;e;66;e;305;e;83;e;306;e;65;e;284;e;59;e;243;e;68;e;243;e;51;e;232;e;53;e;231;e;41;e;176;e;42;e;209;e;55;e;228;e;45;e
TDU-02;Neubildungen;121057;e;104084;e;122799;e;105421;e;123207;e;105082;e;125054;e;105786;e;125120;e;105651;e;126407;e;107345;e;128826;e;109570;e;126998;e;108688;e;128749;e;109596;e;129282;e;110309;e;129916;e;109636;e;127968;e;109192;e;129140;e;110808;e;127959;e;110663;e
TDU-021;Bösartige Neubildungen (BN);118202;e;100687;e;119755;e;101836;e;120080;e;101531;e;121748;e;102094;e;121766;e;101992;e;122916;e;103421;e;125128;e;105597;e;123126;e;104469;e;124810;e;105221;e;125191;e;106127;e;125891;e;105380;e;124006;e;105062;e;124992;e;106541;e;123840;e;106452;e
TDU-02101;BN der Lippe, der Mundhöhle und des Pharynx;3816;e;1204;e;4064;e;1322;e;4090;e;1303;e;4084;e;1389;e;4095;e;1353;e;4086;e;1378;e;4070;e;1387;e;3963;e;1402;e;3970;e;1442;e;3888;e;1479;e;3955;e;1397;e;3796;e;1421;e;3761;e;1462;e;3768;e;1428;e
TDU-02102;BN des Ösophagus;3837;e;1142;e;3966;e;1172;e;4072;e;1188;e;4244;e;1192;e;4107;e;1236;e;4269;e;1238;e;4434;e;1245;e;4266;e;1233;e;4278;e;1358;e;4510;e;1332;e;4556;e;1398;e;4444;e;1368;e;4580;e;1388;e;4530;e;1354;e
TDU-02103;BN des Magens;5777;e;4400;e;5691;e;4399;e;5770;e;4208;e;5591;e;4031;e;5545;e;4065;e;5429;e;3829;e;5370;e;3861;e;5266;e;3700;e;5187;e;3674;e;5099;e;3428;e;5032;e;3321;e;4976;e;3320;e;4826;e;3164;e;4672;e;3136;e
TDU-02104;BN des Dickdarms;8479;e;8682;e;8630;e;8663;e;8724;e;8495;e;8658;e;8450;e;8578;e;8321;e;8548;e;8124;e;8539;e;8102;e;8043;e;7672;e;8261;e;7687;e;8138;e;7692;e;8235;e;7457;e;7820;e;7252;e;7812;e;7133;e;7530;e;7149;e
TDU-02105;BN des Rektums, des Anus und am Rektosigmoid;4697;e;3578;e;4891;e;3479;e;4745;e;3472;e;4629;e;3412;e;4695;e;3397;e;4801;e;3372;e;4760;e;3362;e;4703;e;3281;e;4869;e;3388;e;4733;e;3404;e;4771;e;3262;e;4744;e;3049;e;4690;e;3231;e;4609;e;3241;e
