Tabelle: 23131-0004
Krankenhauspatienten: Deutschland, Jahre, Geschlecht,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersgruppen, Fachabteilungen, Hauptdiagnose ICD-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(1-Steller);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diagnosen der Krankenhauspatienten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entlassene Patienten (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;männlich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;weiblich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Insgesamt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;unter 1 Jahr;;1 bis unter 5 Jahre;;5 bis unter 10 Jahre;;10 bis unter 15 Jahre;;15 bis unter 18 Jahre;;18 bis unter 20 Jahre;;20 bis unter 25 Jahre;;25 bis unter 30 Jahre;;30 bis unter 35 Jahre;;35 bis unter 40 Jahre;;40 bis unter 45 Jahre;;45 bis unter 50 Jahre;;50 bis unter 55 Jahre;;55 bis unter 60 Jahre;;60 bis unter 65 Jahre;;65 bis unter 70 Jahre;;70 bis unter 75 Jahre;;75 bis unter 80 Jahre;;80 bis unter 85 Jahre;;85 bis unter 90 Jahre;;90 bis unter 95 Jahre;;95 Jahre und mehr;;Insgesamt;;unter 1 Jahr;;1 bis unter 5 Jahre;;5 bis unter 10 Jahre;;10 bis unter 15 Jahre;;15 bis unter 18 Jahre;;18 bis unter 20 Jahre;;20 bis unter 25 Jahre;;25 bis unter 30 Jahre;;30 bis unter 35 Jahre;;35 bis unter 40 Jahre;;40 bis unter 45 Jahre;;45 bis unter 50 Jahre;;50 bis unter 55 Jahre;;55 bis unter 60 Jahre;;60 bis unter 65 Jahre;;65 bis unter 70 Jahre;;70 bis unter 75 Jahre;;75 bis unter 80 Jahre;;80 bis unter 85 Jahre;;85 bis unter 90 Jahre;;90 bis unter 95 Jahre;;95 Jahre und mehr;;Insgesamt;;unter 1 Jahr;;1 bis unter 5 Jahre;;5 bis unter 10 Jahre;;10 bis unter 15 Jahre;;15 bis unter 18 Jahre;;18 bis unter 20 Jahre;;20 bis unter 25 Jahre;;25 bis unter 30 Jahre;;30 bis unter 35 Jahre;;35 bis unter 40 Jahre;;40 bis unter 45 Jahre;;45 bis unter 50 Jahre;;50 bis unter 55 Jahre;;55 bis unter 60 Jahre;;60 bis unter 65 Jahre;;65 bis unter 70 Jahre;;70 bis unter 75 Jahre;;75 bis unter 80 Jahre;;80 bis unter 85 Jahre;;85 bis unter 90 Jahre;;90 bis unter 95 Jahre;;95 Jahre und mehr;;Insgesamt;
2018;Innere Medizin;ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;147;e;309;e;171;e;143;e;679;e;1944;e;5125;e;5362;e;5098;e;4732;e;4346;e;6004;e;8237;e;9992;e;11000;e;13273;e;13825;e;21686;e;20710;e;12600;e;4964;e;805;e;151275;e;121;e;277;e;125;e;179;e;847;e;2392;e;5572;e;5245;e;4482;e;4183;e;3951;e;4969;e;7072;e;8501;e;9240;e;11140;e;12306;e;22338;e;25846;e;19594;e;10951;e;2745;e;162183;e;268;e;586;e;296;e;322;e;1526;e;4336;e;10697;e;10607;e;9580;e;8915;e;8297;e;10973;e;15309;e;18493;e;20240;e;24413;e;26131;e;44024;e;46556;e;32195;e;15915;e;3550;e;313459;e
;;ICD10-C00-C97;Bösartige Neubildungen;3;e;7;e;1;e;12;e;28;e;302;e;844;e;1061;e;1296;e;1676;e;2535;e;5196;e;11982;e;20183;e;26570;e;31985;e;29564;e;36154;e;23876;e;9486;e;2316;e;267;e;205388;e;2;e;3;e;1;e;15;e;17;e;134;e;517;e;668;e;1054;e;1672;e;2495;e;4922;e;9595;e;14650;e;18456;e;21674;e;20828;e;26846;e;20299;e;9446;e;3044;e;596;e;156990;e;5;e;10;e;2;e;27;e;45;e;436;e;1361;e;1729;e;2350;e;3348;e;5030;e;10118;e;21577;e;34833;e;45026;e;53659;e;50392;e;63000;e;44175;e;18932;e;5360;e;863;e;362378;e
;;ICD10-D00-D48;Übrige Neubildungen;2;e;2;e;-;;7;e;8;e;44;e;128;e;201;e;237;e;380;e;535;e;1083;e;2337;e;3790;e;4847;e;5698;e;5624;e;7645;e;5613;e;2355;e;660;e;72;e;41290;e;2;e;2;e;-;;6;e;14;e;45;e;179;e;252;e;318;e;451;e;627;e;1195;e;2178;e;3104;e;3474;e;4380;e;4604;e;6434;e;5415;e;2664;e;900;e;197;e;36469;e;4;e;4;e;-;;13;e;22;e;89;e;307;e;453;e;555;e;831;e;1162;e;2278;e;4515;e;6894;e;8321;e;10078;e;10228;e;14079;e;11028;e;5019;e;1560;e;269;e;77759;e
;;ICD10-D50-D90;Krankheiten des Blutes;1;e;5;e;6;e;11;e;20;e;145;e;378;e;581;e;664;e;682;e;690;e;1160;e;1605;e;2051;e;2630;e;3490;e;3599;e;5974;e;5989;e;3740;e;1532;e;294;e;35267;e;3;e;11;e;13;e;8;e;60;e;226;e;564;e;701;e;771;e;939;e;1231;e;1605;e;1650;e;1920;e;2391;e;3278;e;3940;e;7125;e;8842;e;6762;e;3647;e;941;e;46657;e;4;e;16;e;19;e;19;e;80;e;371;e;942;e;1282;e;1435;e;1621;e;1921;e;2765;e;3255;e;3971;e;5021;e;6768;e;7539;e;13099;e;14831;e;10502;e;5179;e;1235;e;81924;e
;;ICD10-E00-E90;Endokrine, Ernährungs- und Stoffwechselkrankheiten;9;e;15;e;34;e;218;e;422;e;937;e;2028;e;2199;e;2502;e;2856;e;3352;e;5163;e;7383;e;9571;e;10371;e;11689;e;11431;e;17985;e;19057;e;12849;e;5607;e;1094;e;126824;e;9;e;25;e;24;e;194;e;396;e;995;e;2090;e;2113;e;2067;e;2228;e;2412;e;3603;e;5247;e;6610;e;7212;e;9308;e;10789;e;22715;e;30873;e;27305;e;16313;e;4460;e;157080;e;18;e;40;e;58;e;412;e;818;e;1932;e;4118;e;4312;e;4569;e;5084;e;5764;e;8766;e;12630;e;16181;e;17583;e;20997;e;22220;e;40700;e;49930;e;40154;e;21920;e;5554;e;283904;e
;;ICD10-F00-F99;Psychische und Verhaltensstörungen;6;e;10;e;10;e;114;e;1665;e;3772;e;6695;e;6060;e;7316;e;8244;e;8191;e;9345;e;11155;e;9961;e;7008;e;4108;e;2478;e;2688;e;2188;e;1336;e;490;e;90;e;92987;e;5;e;2;e;1;e;141;e;1143;e;2515;e;3999;e;2874;e;3119;e;3529;e;3618;e;4531;e;5882;e;5240;e;3629;e;2964;e;2736;e;3950;e;3630;e;2380;e;1090;e;241;e;57265;e;11;e;12;e;11;e;255;e;2808;e;6287;e;10694;e;8934;e;10435;e;11773;e;11809;e;13876;e;17037;e;15201;e;10637;e;7072;e;5214;e;6638;e;5818;e;3716;e;1580;e;331;e;150252;e
;;ICD10-G00-G99;Krankheiten des Nervensystems;6;e;25;e;29;e;73;e;210;e;501;e;1291;e;1848;e;2264;e;2862;e;3440;e;5313;e;7759;e;8791;e;8327;e;7629;e;6647;e;8878;e;6757;e;2948;e;908;e;121;e;76654;e;7;e;14;e;29;e;63;e;246;e;552;e;1382;e;1525;e;1568;e;1728;e;2003;e;3006;e;4379;e;5127;e;4954;e;5042;e;4910;e;7507;e;7217;e;4237;e;1889;e;397;e;57809;e;13;e;39;e;58;e;136;e;456;e;1053;e;2673;e;3373;e;3832;e;4590;e;5443;e;8319;e;12138;e;13918;e;13281;e;12671;e;11557;e;16385;e;13974;e;7185;e;2797;e;518;e;134463;e
;;ICD10-H00-H59;Krankheiten des Auges und der Augenanhangsgebilde;2;e;3;e;-;;2;e;3;e;7;e;35;e;39;e;35;e;48;e;53;e;62;e;87;e;139;e;141;e;141;e;134;e;152;e;152;e;70;e;19;e;1;e;1326;e;-;;4;e;1;e;3;e;11;e;22;e;51;e;47;e;50;e;46;e;50;e;67;e;104;e;116;e;115;e;136;e;133;e;222;e;204;e;94;e;48;e;5;e;1529;e;2;e;7;e;1;e;5;e;14;e;29;e;86;e;86;e;85;e;94;e;103;e;129;e;191;e;255;e;256;e;277;e;267;e;374;e;356;e;164;e;67;e;6;e;2855;e
