Tabelle: 23211-0002
Gestorbene: Deutschland, Jahre, Todesursachen, Geschlecht,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Todesursachenstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestorbene (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;weiblich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;unter 1 Jahr;;1 bis unter 15 Jahre;;15 bis unter 20 Jahre;;20 bis unter 25 Jahre;;25 bis unter 30 Jahre;;30 bis unter 35 Jahre;;35 bis unter 40 Jahre;;40 bis unter 45 Jahre;;45 bis unter 50 Jahre;;50 bis unter 55 Jahre;;55 bis unter 60 Jahre;;60 bis unter 65 Jahre;;65 bis unter 70 Jahre;;70 bis unter 75 Jahre;;75 bis unter 80 Jahre;;80 bis unter 85 Jahre;;85 Jahre und mehr;;Alter unbekannt;;unter 1 Jahr;;1 bis unter 15 Jahre;;15 bis unter 20 Jahre;;20 bis unter 25 Jahre;;25 bis unter 30 Jahre;;30 bis unter 35 Jahre;;35 bis unter 40 Jahre;;40 bis unter 45 Jahre;;45 bis unter 50 Jahre;;50 bis unter 55 Jahre;;55 bis unter 60 Jahre;;60 bis unter 65 Jahre;;65 bis unter 70 Jahre;;70 bis unter 75 Jahre;;75 bis unter 80 Jahre;;80 bis unter 85 Jahre;;85 Jahre und mehr;;Alter unbekannt;
2010;TDU-01;Bestimmte infektiöse und parasitäre Krankheiten;19;e;27;e;13;e;5;e;23;e;33;e;77;e;154;e;237;e;301;e;348;e;388;e;627;e;997;e;1236;e;1354;e;1358;e;-;;15;e;24;e;7;e;4;e;12;e;17;e;37;e;52;e;97;e;143;e;155;e;228;e;394;e;672;e;1122;e;1802;e;3418;e;-;
;TDU-011;Tuberkulose einschließlich ihrer Folgezustände;-;;-;;-;;-;;-;;2;e;5;e;7;e;14;e;18;e;9;e;10;e;17;e;24;e;31;e;43;e;45;e;-;;-;;-;;1;e;-;;2;e;-;;2;e;1;e;2;e;3;e;2;e;2;e;5;e;11;e;29;e;25;e;40;e;-;
;TDU-012;Meningokokkeninfektion;-;;6;e;4;e;-;;1;e;-;;-;;3;e;-;;3;e;-;;1;e;-;;1;e;3;e;2;e;1;e;-;;4;e;5;e;-;;1;e;1;e;-;;-;;-;;2;e;-;;-;;-;;2;e;2;e;-;;-;;1;e;-;
;TDU-013;Virushepatitis;-;;-;;-;;-;;3;e;3;e;13;e;29;e;43;e;75;e;64;e;30;e;49;e;60;e;40;e;55;e;37;e;-;;-;;-;;-;;-;;-;;-;;3;e;9;e;17;e;31;e;21;e;23;e;32;e;58;e;68;e;118;e;99;e;-;
;TDU-014;HIV-Krankheit;-;;1;e;-;;-;;10;e;15;e;34;e;54;e;72;e;60;e;42;e;28;e;29;e;23;e;7;e;3;e;2;e;-;;-;;-;;-;;1;e;4;e;5;e;15;e;14;e;12;e;7;e;4;e;2;e;5;e;4;e;2;e;-;;-;;-;
;TDU-02;Neubildungen;16;e;114;e;82;e;115;e;164;e;258;e;458;e;1065;e;2703;e;5265;e;8281;e;10763;e;16806;e;23264;e;20364;e;17973;e;13366;e;-;;11;e;95;e;56;e;72;e;155;e;260;e;562;e;1357;e;2703;e;4235;e;5883;e;7426;e;10815;e;15352;e;15246;e;17184;e;22672;e;-;
;TDU-021;Bösartige Neubildungen (BN);11;e;106;e;80;e;111;e;158;e;248;e;447;e;1050;e;2667;e;5213;e;8181;e;10635;e;16549;e;22796;e;19836;e;17361;e;12753;e;-;;9;e;86;e;52;e;71;e;153;e;256;e;558;e;1334;e;2680;e;4196;e;5838;e;7343;e;10658;e;15047;e;14811;e;16457;e;21138;e;-;
;TDU-02101;BN der Lippe, der Mundhöhle und des Pharynx;-;;-;;-;;2;e;2;e;7;e;16;e;63;e;232;e;477;e;582;e;600;e;625;e;573;e;309;e;205;e;123;e;-;;-;;-;;-;;2;e;5;e;2;e;7;e;19;e;48;e;103;e;129;e;129;e;165;e;145;e;137;e;122;e;191;e;-;
;TDU-02102;BN des Ösophagus;-;;-;;-;;-;;2;e;8;e;12;e;37;e;162;e;290;e;454;e;520;e;623;e;729;e;496;e;297;e;207;e;-;;-;;-;;-;;-;;-;;1;e;2;e;5;e;28;e;48;e;75;e;142;e;154;e;187;e;148;e;158;e;194;e;-;
;TDU-02103;BN des Magens;-;;-;;-;;1;e;8;e;11;e;33;e;79;e;167;e;268;e;388;e;508;e;689;e;1031;e;1010;e;911;e;673;e;-;;-;;-;;-;;2;e;7;e;11;e;26;e;63;e;96;e;166;e;190;e;237;e;342;e;563;e;632;e;804;e;1261;e;-;
;TDU-02104;BN des Dickdarms;-;;-;;2;e;2;e;6;e;12;e;27;e;53;e;148;e;254;e;463;e;584;e;1062;e;1637;e;1571;e;1483;e;1175;e;-;;-;;1;e;-;;1;e;5;e;13;e;26;e;69;e;126;e;187;e;283;e;390;e;655;e;1186;e;1263;e;1682;e;2795;e;-;
;TDU-02105;BN des Rektums, des Anus und am Rektosigmoid;-;;-;;-;;2;e;1;e;2;e;11;e;43;e;120;e;190;e;326;e;479;e;678;e;976;e;806;e;607;e;456;e;-;;-;;-;;-;;1;e;4;e;8;e;11;e;34;e;65;e;119;e;150;e;230;e;312;e;526;e;496;e;593;e;1029;e;-;
;TDU-02106;BN der Leber, der Gallenwege und des Pankreas;1;e;3;e;1;e;3;e;15;e;14;e;37;e;115;e;268;e;600;e;1014;e;1358;e;2123;e;2959;e;2308;e;1715;e;1094;e;-;;-;;1;e;4;e;-;;6;e;12;e;21;e;72;e;175;e;340;e;606;e;747;e;1305;e;2118;e;2206;e;2294;e;2618;e;-;
;TDU-02107;BN der Leber und der intrahepatischen Gallengänge;-;;2;e;1;e;2;e;10;e;7;e;8;e;30;e;76;e;215;e;345;e;491;e;778;e;1128;e;832;e;599;e;332;e;-;;-;;1;e;3;e;-;;4;e;4;e;6;e;21;e;30;e;71;e;123;e;146;e;268;e;408;e;428;e;479;e;542;e;-;
;TDU-02108;BN des Pankreas;-;;1;e;-;;1;e;4;e;5;e;26;e;73;e;174;e;341;e;588;e;781;e;1158;e;1578;e;1253;e;940;e;615;e;-;;-;;-;;1;e;-;;1;e;8;e;10;e;42;e;123;e;219;e;400;e;501;e;843;e;1380;e;1420;e;1425;e;1577;e;-;
;TDU-02109;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;3;e;-;;3;e;4;e;8;e;12;e;55;e;170;e;636;e;1613;e;2644;e;3299;e;5146;e;6227;e;5102;e;3793;e;1927;e;-;;1;e;-;;1;e;-;;5;e;15;e;46;e;162;e;433;e;928;e;1310;e;1622;e;1979;e;2130;e;1905;e;1769;e;1509;e;-;
;TDU-02110;BN der Bronchien und der Lunge;3;e;-;;3;e;4;e;7;e;11;e;54;e;161;e;592;e;1508;e;2502;e;3136;e;4926;e;6012;e;4935;e;3660;e;1843;e;-;;1;e;-;;1;e;-;;4;e;14;e;45;e;160;e;428;e;910;e;1288;e;1607;e;1948;e;2096;e;1887;e;1742;e;1484;e;-;
;TDU-02111;Melanom und sonstige bösartige Neubild. der Haut;-;;-;;2;e;2;e;7;e;14;e;32;e;50;e;85;e;117;e;130;e;158;e;214;e;333;e;279;e;278;e;213;e;-;;-;;-;;1;e;2;e;8;e;12;e;23;e;48;e;66;e;69;e;84;e;82;e;119;e;174;e;160;e;201;e;369;e;-;
