"Krankenhauspatienten: Deutschland, Jahre,
Hauptdiagnose ICD-10 (1-3-Steller Hierarchie)";;;;;;;;;;;;;;;;;;;;;
Diagnosen der Krankenhauspatienten;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;
Durchschnittliche Verweildauer der Patienten (Tage);;;;;;;;;;;;;;;;;;;;;
ICD-10 (1-3-Steller) Hauptdiagnose;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;7,5;e;7,5;e;7,4;e;7,4;e;7,4;e;7,3;e;7,8;e;7,5;e;7,2;e;7,4;e
ICD10-A00-A09;  Infektiöse Darmkrankheiten;4,8;e;4,7;e;4,5;e;4,6;e;4,5;e;4,3;e;4,8;e;4,5;e;4,2;e;4,2;e
ICD10-A00;    Cholera;6;e;5,5;e;6,2;e;6,5;e;13;e;-;;-;;30,3;e;4;e;11;e
ICD10-A01;    Typhus abdominalis und Paratyphus;9,9;e;8,4;e;9,8;e;9;e;9,2;e;10,4;e;9,3;e;9,9;e;11;e;9,7;e
ICD10-A02;    Sonstige Salmonelleninfektionen;6,2;e;6,1;e;6,1;e;6,1;e;6,2;e;6;e;6,1;e;5,9;e;6;e;6,2;e
ICD10-A03;    Shigellose (Bakterielle Ruhr);4,9;e;5,2;e;5,7;e;4,9;e;4,7;e;4,9;e;6;e;5,3;e;5,3;e;5,1;e
ICD10-A04;    Sonstige bakterielle Darminfektionen;8,9;e;8,8;e;8,5;e;8,3;e;8,2;e;7,8;e;7,7;e;7,4;e;7,6;e;7,6;e
ICD10-A05;    Sonstige bakteriell bed. Lebensmittelvergiftungen;2,7;e;2,7;e;2,4;e;2,4;e;2,7;e;2,4;e;2,8;e;2,7;e;2,6;e;2,6;e
ICD10-A06;    Amöbiasis;8,2;e;10,6;e;9,2;e;9,2;e;9,2;e;9;e;12;e;8,1;e;8,4;e;8,2;e
ICD10-A07;    Sonstige Darmkrankheiten durch Protozoen;6,4;e;5,9;e;5,3;e;5,6;e;5,8;e;5,3;e;5;e;5;e;6;e;5;e
ICD10-A08;    Virusbed. u.sonst. näher bezeichn. Darminfektionen;3,8;e;3,9;e;3,6;e;3,8;e;3,7;e;3,7;e;4,2;e;3,6;e;3,4;e;3,5;e
ICD10-A09;    Sonst. Gastroenteritis u.Kolitis infekt. Ursprungs;3,7;e;3,7;e;3,6;e;3,7;e;3,7;e;3,6;e;4;e;3,8;e;3,7;e;3,6;e
ICD10-A15-A19;  Tuberkulose;24,7;e;24,1;e;24,4;e;23,7;e;24,8;e;24,5;e;24,7;e;23,3;e;23,5;e;23;e
ICD10-A15;    Tuberkulose der Atmungsorgane, gesichert;31,9;e;31,8;e;31,3;e;31,6;e;32;e;31,8;e;31,5;e;28,9;e;29,3;e;28,2;e
ICD10-A16;    Tuberkulose der Atmungsorgane, nicht gesichert;12,8;e;13,3;e;14,4;e;11,8;e;13,4;e;13;e;13,3;e;13,6;e;12,1;e;11,8;e
ICD10-A17;    Tuberkulose des Nervensystems;28,4;e;28,3;e;29,8;e;23;e;21,8;e;24;e;21,5;e;30,1;e;29,8;e;23,2;e
ICD10-A18;    Tuberkulose sonstiger Organe;16;e;15,3;e;15,6;e;16,6;e;15,5;e;15,2;e;14,4;e;14,5;e;13,4;e;14,8;e
ICD10-A19;    Miliartuberkulose;27,6;e;23,5;e;25,3;e;24,9;e;31,5;e;28,6;e;29,2;e;28,7;e;25,6;e;28,1;e
